parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-24-28-OP-5,92.33,31.47,SAN RAMÓN,INDUSTRIA / ELíAS FERNÃNDEZ ALBANO,350,347844,6289010
L-24-28-OP-10,101.55,63.62,SAN RAMÓN,RIVADAVIA / ELíAS FERNÃNDEZ ALBANO,350,347590,6289055
L-24-28-PO-10,73.60,123.50,SAN RAMÓN,RIVADAVIA / ELíAS FERNÃNDEZ ALBANO,350,347545,6289008
L-24-28-OP-15,83.92,50.76,SAN RAMÓN,ALVEAR / ELíAS FERNÃNDEZ ALBANO,350,347330,6289098
L-24-28-PO-15,76.58,69.62,SAN RAMÓN,INDUSTRIA / ELíAS FERNÃNDEZ ALBANO,350,347810,6288962
L-24-14-NS-40,61.49,35.88,SAN RAMÓN,FERNÃNDEZ ALBANO / RIVADAVIA,350,347569,6289060
L-24-14-SN-45,59.55,48.87,SAN RAMÓN,FERNÃNDEZ ALBANO / RIVADAVIA,350,347582,6288999
L-24-14-NS-50,84.09,47.41,SAN RAMÓN,EL PARRÓN / RIVADAVIA,350,347452,6288832
L-24-16-OP-9,124.78,32.73,SAN RAMÓN,JUAN SANFUENTES / URUGUAY,350,347398,6288420
L-24-16-OP-10,58.75,15.33,SAN RAMÓN,CARLOS DÃVILA / URUGUAY,350,347659,6288372
L-24-16-OP-15,56.24,11.80,SAN RAMÓN,JUAN ANTONIO RíOS / URUGUAY,350,347865,6288330
L-24-16-OP-20,163.16,61.18,SAN RAMÓN,PEDRO AGUIRRE C. / URUGUAY,350,348187,6288306
L-24-18-PO-10,12.13,87.68,SAN RAMÓN,JUAN SANFUENTES / ARGENTINA,350,347389,6288578
L-24-18-PO-15,21.17,35.67,SAN RAMÓN,CARLOS DÃVILA / ARGENTINA,350,347631,6288526
L-24-18-PO-20,19.44,49.37,SAN RAMÓN,JUAN ANTONIO RíOS / ARGENTINA,350,347866,6288476
L-24-18-PO-25,91.37,177.64,SAN RAMÓN,COLOMBIA / ARGENTINA,350,348155,6288411
L-24-5-PO-20,97.78,159.08,SAN RAMÓN,JUAN SANFUENTES / EL PARRÓN,350,347437,6288800
L-24-5-OP-25,181.20,96.39,SAN RAMÓN,RIVADAVIA / EL PARRÓN,350,347479,6288813
L-24-5-PO-30,33.42,48.68,SAN RAMÓN,CARLOS DÃVILA / EL PARRÓN,350,347672,6288761
L-24-5-OP-33,92.79,27.30,SAN RAMÓN,CARLOS DÃVILA / EL PARRÓN,350,347708,6288772
L-24-5-PO-35,29.16,38.26,SAN RAMÓN,JUAN ANTONIO RíOS / EL PARRÓN,350,347910,6288715
L-24-5-OP-38,97.50,39.90,SAN RAMÓN,JUAN ANTONIO RíOS / EL PARRÓN,350,347951,6288731
L-24-5-PO-40,73.72,214.88,SAN RAMÓN,SANTA ROSA / EL PARRÓN,350,348119,6288687
L-24-8-SN-5,30.74,71.39,SAN RAMÓN,EL PARRÓN / JUAN LUIS SANFUENTES,350,347466,6288779
L-24-8-NS-10,32.31,14.90,SAN RAMÓN,ARGENTINA / JUAN LUIS SANFUENTES,350,347405,6288603
L-24-8-SN-15,20.41,23.52,SAN RAMÓN,ARGENTINA / JUAN LUIS SANFUENTES,350,347411,6288552
L-24-8-NS-20,105.47,74.88,SAN RAMÓN,URUGUAY / JUAN LUIS SANFUENTES,350,347364,6288445
T-24-205-NS-45,567.50,624.43,SAN RAMÓN,PARADA 3 / P. 23 SANTA ROSA,351,348223,6287975
T-24-205-NS-50,159.47,356.43,SAN RAMÓN,PARADA 1 / P. 23 SANTA ROSA,351,348237,6287802
T-22-205-SN-40,593.09,382.73,LA GRANJA,PARADA 2 / P. 23 SANTA ROSA,351,348245,6288024
L-24-19-PO-3,8.34,50.50,SAN RAMÓN,CUNCUMéN / DOñIHUE,351,347547,6287953
L-24-19-OP-5,22.68,68.38,SAN RAMÓN,CARLOS DÃVILA / DOñIHUE,351,347549,6287965
L-24-19-PO-10,17.22,15.29,SAN RAMÓN,JUAN ANTONIO RíOS / DOñIHUE,351,347752,6287913
